model_id,downloads,likes,pipeline_tag,library_name
sentence-transformers/all-MiniLM-L6-v2,253221637,5079,sentence-similarity,sentence-transformers
cross-encoder/ms-marco-MiniLM-L6-v2,84992380,284,text-ranking,sentence-transformers
google-bert/bert-base-uncased,80085499,2708,fill-mask,transformers
BAAI/bge-small-en-v1.5,66544791,513,feature-extraction,sentence-transformers
google/electra-base-discriminator,55826084,141,,transformers
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,50874656,1321,sentence-similarity,sentence-transformers
BAAI/bge-m3,35139752,3236,sentence-similarity,sentence-transformers
sentence-transformers/all-mpnet-base-v2,30639693,1330,sentence-similarity,sentence-transformers
google-t5/t5-small,27803317,575,translation,transformers
Qwen/Qwen3-0.6B,26281600,1420,text-generation,transformers
timm/mobilenetv3_small_100.lamb_in1k,24821867,92,image-classification,timm
FacebookAI/xlm-roberta-base,23861043,868,fill-mask,transformers
openai/clip-vit-base-patch32,23640354,982,zero-shot-image-classification,transformers
BAAI/bge-reranker-v2-m3,17713939,1090,text-classification,sentence-transformers
Qwen/Qwen3-8B,17314843,1210,text-generation,transformers
facebook/opt-125m,15896389,278,text-generation,transformers
intfloat/multilingual-e5-small,15032657,366,sentence-similarity,sentence-transformers
nomic-ai/nomic-embed-text-v1.5,14888586,869,sentence-similarity,sentence-transformers
amazon/chronos-2,14831900,365,time-series-forecasting,chronos-forecasting
BAAI/bge-large-en-v1.5,14387876,701,feature-extraction,sentence-transformers
google/gemma-4-26B-A4B-it,14050306,1281,image-text-to-text,transformers
openai-community/gpt2,14037132,3350,text-generation,transformers
autogluon/chronos-bolt-small,13917441,54,time-series-forecasting,
lpiccinelli/unidepth-v2-vitl14,13712188,40,,UniDepth
trl-internal-testing/tiny-Qwen2ForCausalLM-2.5,13604810,15,text-generation,transformers
Qwen/Qwen2.5-1.5B-Instruct,13291422,774,text-generation,transformers
openai/clip-vit-large-patch14,13186994,2054,zero-shot-image-classification,transformers
FacebookAI/roberta-large,12861213,310,fill-mask,transformers
intfloat/multilingual-e5-large,12742758,1226,feature-extraction,sentence-transformers
google/gemma-4-31B-it,12499574,3249,image-text-to-text,transformers
Qwen/Qwen2.5-7B-Instruct,12059622,1425,text-generation,transformers
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,11312160,477,sentence-similarity,sentence-transformers
Bingsu/adetailer,11204301,744,,ultralytics
Qwen/Qwen3-Embedding-0.6B,10704040,1114,feature-extraction,sentence-transformers
laion/clap-htsat-fused,10547341,116,audio-classification,transformers
cross-encoder/ms-marco-MiniLM-L4-v2,10545508,18,text-ranking,sentence-transformers
autogluon/chronos-2,10190538,40,time-series-forecasting,chronos-forecasting
Qwen/Qwen2.5-VL-7B-Instruct,10164836,1635,image-text-to-text,transformers
hexgrad/Kokoro-82M,10134354,6547,text-to-speech,
meta-llama/Llama-3.2-1B-Instruct,10080889,1534,text-generation,transformers
distilbert/distilbert-base-uncased,10048240,914,fill-mask,transformers
coqui/XTTS-v2,9804831,3665,text-to-speech,coqui
Qwen/Qwen3.5-9B,9222706,1716,image-text-to-text,transformers
FacebookAI/roberta-base,8969258,627,fill-mask,transformers
deepseek-ai/DeepSeek-R1,8903931,13476,text-generation,transformers
Falconsai/nsfw_image_detection,8733233,1141,image-classification,transformers
nvidia/Qwen3.6-35B-A3B-NVFP4,8702652,475,text-generation,Model Optimizer
BAAI/bge-base-en-v1.5,8633941,455,feature-extraction,sentence-transformers
pyannote/speaker-diarization-3.1,8475096,2749,automatic-speech-recognition,pyannote-audio
meta-llama/Llama-3.1-8B-Instruct,8310650,6329,text-generation,transformers
argmaxinc/whisperkit-coreml,8213817,197,automatic-speech-recognition,whisperkit
openai/whisper-large-v3-turbo,8135869,3170,automatic-speech-recognition,transformers
answerdotai/ModernBERT-base,8053642,1074,fill-mask,transformers
FacebookAI/xlm-roberta-large,7800289,522,fill-mask,transformers
ProsusAI/finbert,7670716,1199,text-classification,transformers
Qwen/Qwen3.6-35B-A3B-FP8,7651080,317,image-text-to-text,transformers
facebook/contriever,7562320,94,,transformers
openai/gpt-oss-20b,7463393,4813,text-generation,transformers
intfloat/multilingual-e5-base,7318655,373,sentence-similarity,sentence-transformers
pyannote/wespeaker-voxceleb-resnet34-LM,6899004,154,,pyannote-audio
